acctype__cat,light__cat,numvehs__int,pop_group__cat,road_def1__cat,rdsurf__cat,rodwycls__cat,weather1__cat,contrib1__cat,drv_age__int,drv_inj__cat,drv_sex__cat,object1__cat,sobriety__cat,vehtype__cat,vehyr__int,severity__cat
G,C,2,5,H,A,1,A,H,29,0,F,V1,A,A,2006,1
C,A,2,7,H,A,1,A,N,29,0,F,V1,A,A,2007,0
B,A,2,9,H,A,1,A,N,29,0,F,V1,A,A,2001,0
C,D,2,4,H,B,1,B,N,29,0,F,V1,A,A,2000,0
C,C,2,6,H,B,4,C,N,29,0,F,V1,A,A,2008,0
C,A,3,5,H,B,1,B,G,30,0,F,V1,A,A,2007,0
C,A,2,7,H,A,1,A,N,30,0,F,V1,A,A,2006,0
A,A,2,5,H,A,99,A,N,30,0,F,V1,A,A,2003,0
B,C,2,4,H,A,1,B,N,30,0,F,V1,A,A,2005,0
B,A,2,6,H,A,1,B,N,30,0,F,V1,A,A,1999,0
C,C,2,9,H,B,8,B,N,30,0,F,V1,A,A,2001,0
D,C,2,5,H,B,1,C,N,30,0,F,V1,A,A,2004,0
C,B,2,9,H,A,1,A,N,30,0,F,V1,A,A,2005,4
C,C,2,7,H,A,1,B,E,31,0,F,V1,A,A,2003,0
C,A,2,6,H,A,1,A,N,31,0,F,V1,A,A,2007,0
B,D,2,9,H,A,1,A,N,31,0,F,V1,A,A,1999,0
C,A,2,5,H,A,1,B,N,31,0,F,V1,A,A,2003,0
C,A,2,7,H,A,1,B,N,31,0,F,V1,A,A,2002,0
C,A,2,7,H,A,1,B,N,31,0,F,V1,A,A,2007,0
C,C,2,9,H,B,1,B,N,31,0,F,V1,A,A,2006,0
D,A,3,4,C,B,1,B,N,31,0,F,V1,A,A,2005,0
C,A,2,9,H,B,1,C,N,31,0,F,V1,A,A,2001,0
C,A,2,1,H,B,1,B,H,32,0,F,V1,A,A,2001,0
C,B,2,9,H,A,1,A,N,32,0,F,V1,A,A,2006,0
B,C,2,5,H,B,1,C,N,32,0,F,V1,A,A,1999,0
B,C,2,7,H,B,1,C,N,32,0,F,V1,A,A,2007,0
D,A,3,9,H,B,1,C,N,32,0,F,V1,A,A,2005,0
C,A,2,4,H,A,4,E,N,32,0,F,V1,A,A,2004,0
C,C,2,7,H,B,4,F,N,32,0,F,V1,A,A,2005,0
C,A,3,7,H,A,1,A,N,32,0,F,V1,A,A,1994,3
C,A,2,5,H,A,1,A,N,33,0,F,V1,A,A,1997,0
B,A,2,9,H,A,1,A,N,33,0,F,V1,A,A,1985,0
C,B,3,9,H,A,1,A,N,33,0,F,V1,A,A,2000,0
C,C,3,9,H,A,9,A,N,33,0,F,V1,A,A,2005,0
C,C,2,7,H,A,1,B,N,33,0,F,V1,A,A,2005,0
C,A,2,9,H,A,1,B,N,33,0,F,V1,A,A,2007,0
C,C,2,7,H,B,1,C,N,33,0,F,V1,A,A,2006,0
D,A,2,6,H,A,4,B,N,33,0,F,V1,A,A,2001,3
C,C,4,5,H,A,1,A,N,33,0,F,V1,A,A,1995,4
C,C,3,5,H,B,1,B,H,34,0,F,V1,A,A,1997,0
C,C,2,7,H,A,1,A,N,34,0,F,V1,A,A,2005,0
C,B,3,7,H,A,1,A,N,34,0,F,V1,A,A,2005,0
B,A,2,7,H,A,1,B,N,34,0,F,V1,A,A,1996,0
C,A,3,5,H,A,1,B,N,34,0,F,V1,A,A,2007,0
C,D,2,6,H,A,1,A,N,34,0,F,V1,A,A,2007,4
C,A,2,5,H,A,1,A,N,35,0,F,V1,A,A,1997,0
D,A,2,9,H,A,1,A,N,35,0,F,V1,A,A,1999,0
D,A,2,9,H,A,1,A,N,35,0,F,V1,A,A,1999,0
B,C,2,7,H,A,1,B,N,35,0,F,V1,A,A,1999,0
C,D,2,7,H,A,1,B,N,35,0,F,V1,A,A,1992,0
C,A,2,9,H,B,1,B,N,35,0,F,V1,A,A,2007,0
C,A,2,6,H,B,1,C,N,35,0,F,V1,A,A,2005,0
C,C,3,4,H,B,1,C,N,35,0,F,V1,A,A,1998,0
C,A,2,6,H,A,1,A,N,35,0,F,V1,A,A,2000,4
C,C,2,5,H,B,1,C,N,35,0,F,V1,A,A,2007,4
C,A,2,5,H,A,1,A,N,36,0,F,V1,A,A,2008,0
D,A,2,6,H,A,1,A,N,36,0,F,V1,A,A,1996,0
B,A,2,9,H,B,1,B,N,36,0,F,V1,A,A,2006,0
C,A,2,9,H,B,3,B,N,36,0,F,V1,A,A,2000,0
B,A,2,5,H,B,1,C,N,36,0,F,V1,A,A,2007,0
C,C,2,4,H,B,8,C,N,36,0,F,V1,A,A,2007,4
C,A,2,5,H,A,4,B,N,37,0,F,V1,A,A,2007,0
D,C,2,9,H,A,1,A,N,38,0,F,V1,A,A,1991,0
C,A,2,7,H,B,1,A,N,38,0,F,V1,A,A,2002,0
C,A,2,4,H,A,3,A,N,38,0,F,V1,A,A,2001,0
B,D,2,6,H,B,1,B,N,38,0,F,V1,A,A,1993,0
A,A,2,7,H,B,1,B,N,38,0,F,V1,A,A,1994,0
B,A,2,9,H,B,1,B,N,38,0,F,V1,A,A,2004,0
B,D,2,6,H,A,3,B,N,38,0,F,V1,A,A,2006,0
D,C,2,5,H,B,1,C,N,38,0,F,V1,A,A,2003,0
A,A,2,7,H,B,1,C,N,38,0,F,V1,A,A,1998,3
B,B,2,9,H,A,6,A,N,38,0,F,V1,A,A,1993,4
B,A,2,7,H,A,1,A,N,39,0,F,V1,A,A,2002,0
C,A,3,7,H,A,99,A,N,39,0,F,V1,A,A,2000,0
C,A,2,6,C,A,1,B,N,39,0,F,V1,A,A,2005,0
C,A,2,7,H,B,1,B,N,39,0,F,V1,A,A,2007,0
C,A,2,6,H,B,1,C,N,39,0,F,V1,A,A,1995,0
D,C,2,9,H,B,1,C,N,39,0,F,V1,A,A,2007,0
C,A,2,5,H,B,4,C,N,39,0,F,V1,A,A,1996,0
C,A,2,9,D,B,1,B,G,40,0,F,V1,A,A,2005,0
C,A,2,4,H,A,1,B,H,40,0,F,V1,A,A,2007,0
B,D,2,6,H,B,1,B,N,40,0,F,V1,A,A,2000,0
B,A,2,9,H,B,1,B,N,40,0,F,V1,A,A,2000,0
B,B,2,4,H,B,1,C,N,40,0,F,V1,A,A,2003,0
C,D,2,2,H,B,1,B,N,40,0,F,V1,A,A,2004,4
B,A,2,9,H,B,6,B,I,41,0,F,V1,A,A,2003,0
C,A,2,5,H,A,1,A,N,41,0,F,V1,A,A,2000,0
C,D,2,9,H,A,1,B,N,41,0,F,V1,A,A,1998,0
B,A,2,5,H,B,1,B,N,41,0,F,V1,A,A,2004,0
C,C,3,5,H,B,1,B,N,41,0,F,V1,A,A,2001,0
D,A,2,9,H,A,8,A,A,42,0,F,V1,A,A,2005,0
D,A,2,7,H,A,1,A,G,42,0,F,V1,A,A,2002,3
C,A,2,9,H,B,1,A,N,42,0,F,V1,A,A,2005,0
C,A,2,5,H,A,1,B,N,42,0,F,V1,A,A,2005,0
B,D,2,5,H,A,1,B,N,42,0,F,V1,A,A,2000,0
C,A,3,7,H,A,1,B,N,42,0,F,V1,A,A,2004,0
B,D,2,9,H,B,1,B,N,42,0,F,V1,A,A,1998,0
C,C,2,7,H,A,1,A,N,43,0,F,V1,A,A,2005,0
D,A,2,3,H,C,5,B,N,43,0,F,V1,A,A,2008,0
C,A,2,9,H,B,6,B,N,43,0,F,V1,A,A,1997,0
C,C,2,6,H,B,1,C,N,43,0,F,V1,A,A,1997,0
C,C,3,5,H,B,1,C,N,43,0,F,V1,A,A,2005,0
C,B,2,7,H,B,1,B,N,43,0,F,V1,A,A,1986,4
D,C,2,7,H,B,1,C,N,43,0,F,V1,A,A,1999,4
D,A,2,7,H,A,1,A,N,44,0,F,V1,A,A,1997,0
B,D,3,7,H,A,1,A,N,44,0,F,V1,A,A,2008,0
B,A,2,4,H,A,1,B,N,44,0,F,V1,A,A,2003,0
B,A,2,7,H,A,1,B,N,44,0,F,V1,A,A,2001,0
C,A,2,9,C,B,1,B,N,44,0,F,V1,A,A,1999,0
B,C,2,9,H,B,1,C,N,44,0,F,V1,A,A,1999,0
B,A,2,9,H,B,6,C,N,44,0,F,V1,A,A,1961,0
C,A,2,4,H,B,1,B,N,44,0,F,V1,A,A,2000,3
C,A,2,4,H,A,1,A,G,45,0,F,V1,A,A,2004,0
C,A,3,7,H,A,1,B,G,45,0,F,V1,A,A,1998,0
C,A,2,4,H,A,1,A,N,45,0,F,V1,A,A,2004,0
C,A,2,5,H,A,1,A,N,45,0,F,V1,A,A,2003,0
B,D,2,9,H,A,6,A,N,45,0,F,V1,A,A,2000,0
C,A,2,1,H,A,1,B,N,45,0,F,V1,A,A,2008,0
C,D,2,5,H,B,1,C,N,45,0,F,V1,A,A,2002,0
C,D,3,6,H,A,1,A,N,45,0,F,V1,A,A,2000,4
C,A,2,5,H,B,1,C,N,46,0,F,V1,A,A,2005,0
B,C,2,9,H,A,10,B,N,46,0,F,V1,A,A,2003,4
C,C,2,5,H,A,1,A,G,47,0,F,V1,A,A,2008,0
D,A,2,4,H,A,1,A,N,47,0,F,V1,A,A,2004,0
C,C,2,9,H,A,1,A,N,47,0,F,V1,A,A,2005,0
C,A,2,6,H,A,1,B,N,47,0,F,V1,A,A,2001,0
C,A,2,6,H,B,1,B,N,47,0,F,V1,A,A,2007,0
C,A,2,4,H,B,4,B,N,47,0,F,V1,A,A,2001,0
D,A,2,9,H,A,8,B,N,47,0,F,V1,A,A,1998,0
B,D,2,7,H,B,1,C,N,47,0,F,V1,A,A,2006,0
B,A,2,9,H,B,1,C,N,47,0,F,V1,A,A,2003,0
C,D,2,4,H,A,1,A,N,47,0,F,V1,A,A,2005,4
C,C,4,7,H,A,1,A,N,47,0,F,V1,A,A,2001,4
C,D,2,5,H,A,1,A,A,48,0,F,V1,A,A,2008,0
C,A,2,6,H,A,1,A,N,48,0,F,V1,A,A,2006,0
C,A,2,9,H,C,8,A,N,48,0,F,V1,A,A,2007,0
C,A,2,6,H,A,1,A,N,49,0,F,V1,A,A,1998,0
C,C,5,7,H,B,1,B,N,49,0,F,V1,A,A,2002,0
C,D,2,1,H,B,1,C,N,49,0,F,V1,A,A,2007,0
A,D,2,9,H,A,1,A,N,49,0,F,V1,A,A,2008,2
A,C,2,4,H,B,3,C,N,49,0,F,V1,A,A,2005,3
C,A,3,7,H,A,1,A,N,49,0,F,V1,A,A,2004,4
C,A,2,4,H,A,1,A,N,50,0,F,V1,A,A,2007,0
C,A,2,9,H,A,1,A,N,50,0,F,V1,A,A,2005,0
C,C,2,2,H,B,1,B,N,50,0,F,V1,A,A,2005,0
A,C,2,4,H,B,1,B,N,50,0,F,V1,A,A,2000,0
B,C,3,5,H,B,4,C,N,50,0,F,V1,A,A,2004,0
D,A,2,7,H,B,1,B,N,50,0,F,V1,A,A,2003,4
C,C,2,7,H,A,1,B,N,51,0,F,V1,A,A,1998,0
D,A,2,5,H,A,1,C,N,51,0,F,V1,A,A,2007,0
C,C,2,5,H,B,1,C,N,51,0,F,V1,A,A,2007,0
C,A,2,2,H,B,3,C,N,51,0,F,V1,A,A,1998,0
B,A,2,9,C,A,1,A,G,52,0,F,V1,A,A,2002,0
C,A,2,5,H,A,1,A,G,52,0,F,V1,A,A,2005,4
C,A,2,5,H,A,1,B,H,52,0,F,V1,A,A,1986,0
C,A,2,5,H,A,1,A,N,52,0,F,V1,A,A,2005,0
B,A,2,9,H,A,1,A,N,52,0,F,V1,A,A,2005,0
C,A,2,3,H,B,1,B,N,52,0,F,V1,A,A,1990,0
B,D,2,3,H,B,1,B,N,52,0,F,V1,A,A,2005,0
C,A,2,7,H,B,1,B,N,52,0,F,V1,A,A,2000,0
B,A,2,9,H,B,1,B,N,52,0,F,V1,A,A,2002,0
C,D,2,9,H,B,4,B,N,52,0,F,V1,A,A,2000,0
H,D,3,5,H,B,1,C,N,52,0,F,V1,A,A,2005,0
B,A,3,6,H,B,1,C,N,52,0,F,V1,A,A,2006,0
B,A,3,5,H,B,6,C,N,52,0,F,V1,A,A,2001,0
C,A,3,4,H,A,1,A,N,52,0,F,V1,A,A,2004,4
B,A,3,9,H,A,1,A,N,53,0,F,V1,A,A,2005,0
D,A,2,3,H,B,3,C,N,53,0,F,V1,A,A,2005,0
H,C,2,6,H,B,4,C,N,53,0,F,V1,A,A,1995,0
C,A,2,7,H,A,1,A,N,54,0,F,V1,A,A,1995,0
B,A,2,7,H,A,4,B,N,54,0,F,V1,A,A,2003,0
C,A,2,5,H,A,1,B,H,55,0,F,V1,A,A,2002,0
B,A,2,4,H,B,4,B,N,55,0,F,V1,A,A,2006,0
D,A,2,5,H,B,4,C,N,55,0,F,V1,A,A,2003,0
C,A,2,7,H,A,1,A,N,55,0,F,V1,A,A,2005,4
C,A,2,5,H,A,1,B,N,55,0,F,V1,A,A,1989,4
C,C,2,5,H,B,1,C,H,56,0,F,V1,A,A,1994,0
D,A,2,9,H,A,6,A,N,56,0,F,V1,A,A,2006,0
C,C,2,5,H,B,1,C,N,56,0,F,V1,A,A,2004,0
C,A,2,7,H,B,1,B,G,57,0,F,V1,A,A,1996,0
C,A,2,6,C,A,1,B,N,57,0,F,V1,A,A,2008,0
C,A,3,7,H,A,1,B,G,58,0,F,V1,A,A,2007,0
D,C,2,9,H,A,4,A,N,58,0,F,V1,A,A,1994,0
A,A,2,2,H,B,3,B,N,58,0,F,V1,A,A,1998,0
C,A,2,5,H,B,4,C,N,58,0,F,V1,A,A,1996,0
B,A,3,4,H,A,1,A,N,59,0,F,V1,A,A,2004,4
C,A,2,9,H,A,1,B,N,59,0,F,V1,A,A,2001,4
C,A,2,9,H,B,1,C,N,60,0,F,V1,A,A,1995,0
B,A,2,5,H,A,1,A,N,61,0,F,V1,A,A,2000,0
B,A,2,6,D,A,1,A,N,61,0,F,V1,A,A,2002,0
B,A,3,9,H,A,1,A,N,61,0,F,V1,A,A,2004,0
C,A,2,9,H,A,3,A,N,61,0,F,V1,A,A,1998,0
C,C,2,5,H,B,1,B,I,62,0,F,V1,A,A,1999,0
B,B,2,9,H,A,1,A,N,62,0,F,V1,A,A,2001,0
B,A,2,9,H,A,6,A,N,62,0,F,V1,A,A,2008,0
B,A,2,7,H,A,1,B,N,62,0,F,V1,A,A,1989,0
B,A,2,6,D,B,1,B,N,62,0,F,V1,A,A,1997,0
C,A,2,5,H,A,4,B,N,62,0,F,V1,A,A,2003,0
C,A,2,6,H,B,6,C,N,62,0,F,V1,A,A,2005,0
B,A,2,9,H,B,1,B,G,64,0,F,V1,A,A,2007,0
C,D,2,9,H,A,1,B,N,66,0,F,V1,A,A,2005,0
C,A,3,4,H,A,1,B,N,66,0,F,V1,A,A,1998,0
C,C,2,6,H,A,4,B,N,66,0,F,V1,A,A,2000,0
B,A,2,7,H,A,99,B,L,67,0,F,V1,A,A,2000,3
C,A,3,4,H,A,4,B,N,67,0,F,V1,A,A,2003,0
C,B,2,7,H,A,1,A,N,69,0,F,V1,A,A,2008,0
C,A,2,4,H,B,4,C,N,75,0,F,V1,A,A,2004,0
C,D,2,7,H,A,1,A,N,77,0,F,V1,A,A,2001,4
C,A,2,5,H,B,1,B,N,78,0,F,V1,A,A,2004,0
C,A,2,3,H,B,3,C,N,80,0,F,V1,A,A,2001,0
C,A,2,9,H,A,6,B,H,87,0,F,V1,A,A,1995,0
C,A,2,9,H,B,8,B,N,88,0,F,V1,A,A,1997,0
B,C,2,5,H,A,4,A,N,998,0,F,V1,A,A,2004,0
A,D,2,9,H,A,8,B,N,43,1,F,V1,A,A,1995,1
A,C,2,9,H,A,1,A,N,19,2,F,V1,A,A,2002,2
D,A,2,6,H,A,1,B,N,20,3,F,V1,A,A,2008,3
B,C,2,6,H,B,1,C,N,23,3,F,V1,A,A,2003,3
D,C,3,9,H,A,9,E,N,27,3,F,V1,A,A,2006,3
B,D,2,4,H,B,1,C,I,28,3,F,V1,A,A,1998,2
D,E,2,4,H,B,1,C,I,28,3,F,V1,A,A,1998,2
C,A,3,7,H,A,1,B,N,47,3,F,V1,A,A,2005,3
D,A,3,9,H,B,10,C,N,49,3,F,V1,A,A,1997,1
D,D,2,9,H,B,8,A,N,55,3,F,V1,A,A,1988,3
C,A,3,5,G,B,1,C,N,56,3,F,V1,A,A,2004,3
C,D,2,6,H,A,1,B,N,60,3,F,V1,A,A,1999,3
D,C,2,6,H,A,4,A,N,62,3,F,V1,A,A,1995,3
C,A,4,6,H,B,1,B,I,64,3,F,V1,A,A,2003,3
C,A,2,4,H,A,1,A,N,66,3,F,V1,A,A,1998,3
C,A,3,5,H,A,3,A,A,18,4,F,V1,A,A,1991,4
B,B,2,9,H,A,1,B,N,19,4,F,V1,A,A,2004,4
C,C,2,7,G,B,4,A,N,20,4,F,V1,A,A,1992,4
A,D,2,5,H,A,1,B,N,20,4,F,V1,A,A,2002,4
C,C,3,6,H,B,4,C,N,20,4,F,V1,A,A,2008,4
A,C,2,2,H,B,5,C,N,20,4,F,V1,A,A,1995,4
B,C,2,5,H,B,1,C,N,21,4,F,V1,A,A,2006,3
B,A,2,6,H,A,1,A,N,21,4,F,V1,A,A,1989,4
C,A,2,7,D,A,1,B,N,21,4,F,V1,A,A,1998,4
B,A,2,6,H,B,1,C,N,21,4,F,V1,A,A,2000,4
C,C,2,5,H,B,1,B,N,22,4,F,V1,A,A,2004,4
C,A,3,9,H,B,9,C,I,23,4,F,V1,A,A,2001,4
B,C,2,6,H,B,1,B,N,23,4,F,V1,A,A,1996,4
D,C,2,4,H,B,4,B,N,23,4,F,V1,A,A,2007,4
C,A,2,5,H,A,1,A,N,24,4,F,V1,A,A,2001,4
B,A,2,9,H,A,1,B,N,24,4,F,V1,A,A,2005,4
C,A,2,9,H,B,3,B,N,24,4,F,V1,A,A,1982,4
C,D,2,5,H,B,1,C,N,24,4,F,V1,A,A,2006,4
B,D,2,9,H,B,4,B,N,25,4,F,V1,A,A,2004,3
C,C,2,7,H,B,4,C,N,26,4,F,V1,A,A,2007,4
B,A,2,7,H,A,1,A,N,27,4,F,V1,A,A,1997,3
D,A,2,9,H,A,1,A,N,27,4,F,V1,A,A,1988,3
D,C,2,6,H,B,1,B,N,27,4,F,V1,A,A,2004,3
C,A,2,4,H,A,1,A,N,27,4,F,V1,A,A,2006,4
C,C,2,5,H,B,1,C,N,27,4,F,V1,A,A,2001,4
C,D,3,7,H,B,1,C,N,27,4,F,V1,A,A,2004,4
C,D,3,7,H,A,1,A,N,28,4,F,V1,A,A,2004,3
C,D,2,9,H,B,4,C,N,28,4,F,V1,A,A,2004,4
D,C,3,6,H,B,4,C,N,29,4,F,V1,A,A,2003,3
C,D,2,9,H,B,6,C,N,29,4,F,V1,A,A,2001,4
C,D,2,5,H,B,1,B,N,30,4,F,V1,A,A,1999,4
C,D,4,5,H,A,1,B,G,32,4,F,V1,A,A,1997,4
D,A,2,7,H,B,1,B,N,32,4,F,V1,A,A,2005,4
B,C,3,6,H,B,1,C,N,32,4,F,V1,A,A,2002,4
B,A,2,9,H,A,1,A,N,33,4,F,V1,A,A,2001,3
A,A,3,9,H,B,9,B,N,34,4,F,V1,A,A,1997,3
C,A,3,9,H,A,9,B,N,34,4,F,V1,A,A,1998,4
C,A,2,4,H,A,1,A,N,35,4,F,V1,A,A,1995,4
C,A,5,5,H,A,1,A,N,35,4,F,V1,A,A,1999,4
C,B,2,7,H,A,1,B,N,35,4,F,V1,A,A,2002,4
C,D,2,6,H,A,1,A,N,36,4,F,V1,A,A,2007,4
C,A,2,6,H,B,1,C,N,36,4,F,V1,A,A,1999,4
C,C,2,7,H,B,4,C,N,36,4,F,V1,A,A,1992,4
C,D,3,7,C,B,1,C,I,38,4,F,V1,A,A,2007,4
C,A,2,6,H,B,1,B,N,39,4,F,V1,A,A,2005,4
B,C,2,6,H,B,1,C,N,40,4,F,V1,A,A,2002,4
B,C,3,6,H,B,1,C,N,41,4,F,V1,A,A,2005,4
C,C,2,5,H,A,4,B,N,42,4,F,V1,A,A,2002,4
C,D,2,9,H,B,4,B,N,42,4,F,V1,A,A,2006,4
C,A,2,4,D,A,1,A,G,44,4,F,V1,A,A,2003,4
D,A,2,9,H,A,4,A,N,44,4,F,V1,A,A,2004,4
C,D,2,9,H,A,6,A,N,44,4,F,V1,A,A,2002,4
B,A,2,6,H,A,1,A,N,45,4,F,V1,A,A,2000,4
C,D,2,9,H,A,6,A,N,45,4,F,V1,A,A,2003,4
D,A,2,6,H,B,1,B,N,45,4,F,V1,A,A,2006,4
C,A,2,5,H,A,4,B,G,46,4,F,V1,A,A,2005,4
C,A,3,4,H,A,4,A,N,46,4,F,V1,A,A,2006,4
C,C,2,6,H,A,4,B,N,46,4,F,V1,A,A,2007,4
D,C,2,6,H,A,4,A,N,47,4,F,V1,A,A,2006,4
B,A,2,4,H,B,1,B,N,47,4,F,V1,A,A,2005,4
C,A,2,7,H,A,1,A,N,48,4,F,V1,A,A,2008,4
C,C,2,5,H,B,1,B,N,48,4,F,V1,A,A,2007,4
C,A,2,2,H,B,1,B,N,49,4,F,V1,A,A,2007,4
D,D,2,5,H,B,1,B,N,49,4,F,V1,A,A,2006,4
D,A,2,9,H,B,10,B,N,49,4,F,V1,A,A,2006,4
C,C,2,7,H,B,4,C,N,49,4,F,V1,A,A,1996,4
C,A,3,9,H,A,1,A,N,50,4,F,V1,A,A,2002,4
D,A,2,6,H,B,1,B,N,50,4,F,V1,A,A,2007,4
B,A,2,6,H,B,1,B,N,50,4,F,V1,A,A,2008,4
H,C,2,5,H,A,3,A,N,51,4,F,V1,A,A,2006,4
D,A,2,9,H,A,9,A,N,51,4,F,V1,A,A,1998,4
D,A,2,2,H,B,5,C,N,51,4,F,V1,A,A,2000,4
C,D,2,9,H,B,6,C,N,51,4,F,V1,A,A,2004,4
B,C,2,7,H,A,1,A,N,52,4,F,V1,A,A,2004,4
B,A,4,4,H,B,1,B,N,53,4,F,V1,A,A,2000,4
C,D,3,5,H,A,1,A,N,54,4,F,V1,A,A,2002,4
B,D,2,6,H,B,1,B,N,54,4,F,V1,A,A,2002,4
C,A,3,9,H,A,8,B,N,55,4,F,V1,A,A,2006,4
D,A,2,9,H,C,8,B,N,55,4,F,V1,A,A,2005,4
C,C,3,6,H,B,4,C,N,57,4,F,V1,A,A,2002,4
D,C,3,5,H,B,1,B,N,58,4,F,V1,A,A,1999,3
C,B,3,6,H,A,1,A,N,58,4,F,V1,A,A,2005,4
E,A,3,4,H,B,1,C,N,59,4,F,V1,A,A,2004,3
C,C,2,4,H,A,4,A,N,60,4,F,V1,A,A,2002,4
D,C,2,9,H,A,8,B,N,60,4,F,V1,A,A,1994,4
C,A,2,9,H,A,4,A,N,61,4,F,V1,A,A,2006,4
C,C,2,5,H,A,1,B,N,61,4,F,V1,A,A,2003,4
C,A,6,5,H,A,1,A,G,62,4,F,V1,A,A,1993,3
C,C,2,5,H,B,1,B,N,63,4,F,V1,A,A,2005,4
A,C,2,4,H,A,6,A,N,64,4,F,V1,A,A,2002,4
B,A,3,4,H,B,1,C,N,68,4,F,V1,A,A,1998,4
D,C,2,4,H,B,4,C,N,69,4,F,V1,A,A,2001,3
C,A,2,5,H,A,1,A,H,13,0,M,V1,A,A,2004,0
C,D,2,5,C,B,1,B,I,17,0,M,V1,A,A,2001,4
C,C,3,4,H,B,4,C,N,17,0,M,V1,A,A,1999,0
B,A,4,7,H,B,1,B,N,17,0,M,V1,A,A,2001,3
C,C,2,4,H,A,1,B,H,18,0,M,V1,A,A,2000,0
C,A,2,4,H,B,3,C,L,18,0,M,V1,A,A,1991,0
C,A,3,6,H,A,1,A,N,18,0,M,V1,A,A,2006,0
C,C,2,7,H,A,1,B,N,18,0,M,V1,A,A,2004,0
C,D,2,7,H,A,1,B,N,18,0,M,V1,A,A,1995,0
C,C,2,7,H,B,1,B,N,18,0,M,V1,A,A,2001,0
C,A,3,7,H,B,1,B,N,18,0,M,V1,A,A,2000,0
A,C,2,9,H,A,8,B,N,18,0,M,V1,A,A,1985,0
B,A,2,7,H,B,1,C,A,19,0,M,V1,A,A,1998,0
C,A,2,5,H,B,99,C,A,19,0,M,V1,A,A,2001,0
A,C,2,7,H,B,1,B,A,19,0,M,V1,A,A,2004,4
C,A,2,5,H,A,1,B,G,19,0,M,V1,A,A,2000,0
C,C,2,6,H,B,1,B,G,19,0,M,V1,A,A,2006,0
C,A,2,5,H,A,1,A,H,19,0,M,V1,A,A,1998,0
C,C,2,3,H,B,1,B,I,19,0,M,V1,A,A,2004,4
B,D,2,5,H,A,1,A,N,19,0,M,V1,A,A,2002,0
C,C,2,6,H,A,4,A,N,19,0,M,V1,A,A,1989,0
A,C,2,5,H,A,1,B,N,19,0,M,V1,A,A,1996,0
B,A,2,9,H,C,6,B,N,19,0,M,V1,A,A,1992,0
C,C,2,6,H,B,1,C,N,19,0,M,V1,A,A,2002,0
C,D,2,9,H,B,1,C,N,19,0,M,V1,A,A,2006,0
C,C,3,9,H,A,99,A,N,19,0,M,V1,A,A,2000,3
C,A,2,4,H,A,1,A,N,19,0,M,V1,A,A,2006,4
B,C,3,7,H,A,1,A,N,19,0,M,V1,A,A,1995,4
B,D,2,6,H,A,1,A,N,20,0,M,V1,A,A,2001,0
D,A,2,6,H,B,5,A,N,20,0,M,V1,A,A,1991,0
C,B,3,5,H,A,1,B,N,20,0,M,V1,A,A,1993,0
C,C,2,5,H,B,1,B,N,20,0,M,V1,A,A,2000,0
C,A,2,7,H,B,1,B,N,20,0,M,V1,A,A,2001,0
C,A,3,6,H,B,1,B,N,20,0,M,V1,A,A,2006,0
D,C,2,3,H,A,5,A,N,20,0,M,V1,A,A,1995,1
C,C,2,7,H,B,4,C,N,20,0,M,V1,A,A,2005,3
C,A,3,7,H,B,1,C,N,20,0,M,V1,A,A,1992,4
D,C,2,4,H,B,4,C,N,20,0,M,V1,A,A,1991,4
C,A,2,9,D,A,8,A,F,21,0,M,V1,A,A,2001,0
C,C,2,7,H,A,1,B,G,21,0,M,V1,A,A,2007,0
C,A,3,7,H,A,1,A,N,21,0,M,V1,A,A,2001,0
B,D,2,6,H,B,1,B,N,21,0,M,V1,A,A,2004,0
B,D,2,6,H,B,1,B,N,21,0,M,V1,A,A,2006,0
C,A,2,9,H,C,9,B,N,21,0,M,V1,A,A,1993,0
B,B,2,4,H,B,1,C,N,21,0,M,V1,A,A,1996,0
B,C,2,5,H,B,4,C,N,21,0,M,V1,A,A,1996,0
B,A,2,9,H,A,9,A,N,21,0,M,V1,A,A,2003,3
C,C,2,5,H,B,1,B,N,21,0,M,V1,A,A,1995,4
B,A,2,9,H,B,6,C,A,22,0,M,V1,A,A,1999,4
B,D,2,9,H,A,8,A,F,22,0,M,V1,A,A,1990,0
G,D,2,9,H,A,1,A,H,22,0,M,V1,A,A,2003,2
B,A,2,4,H,B,1,C,H,22,0,M,V1,A,A,1995,4
C,C,2,5,H,A,99,A,M,22,0,M,V1,A,A,1988,4
C,C,2,4,H,A,1,A,N,22,0,M,V1,A,A,2003,0
B,A,2,5,H,A,1,A,N,22,0,M,V1,A,A,2003,0
C,D,2,7,H,A,1,A,N,22,0,M,V1,A,A,2000,0
D,C,2,5,H,A,5,A,N,22,0,M,V1,A,A,1996,0
C,D,2,9,H,A,6,A,N,22,0,M,V1,A,A,2001,0
D,A,2,5,H,B,10,A,N,22,0,M,V1,A,A,1991,0
B,A,2,7,H,A,1,B,N,22,0,M,V1,A,A,1999,0
D,C,2,5,H,B,1,B,N,22,0,M,V1,A,A,2001,0
D,A,2,6,H,B,1,B,N,22,0,M,V1,A,A,2002,0
C,B,2,9,H,A,3,B,N,22,0,M,V1,A,A,2006,0
D,C,3,4,H,B,1,C,N,22,0,M,V1,A,A,1999,0
C,A,2,6,H,A,1,A,N,23,0,M,V1,A,A,2002,0
