lat__float,longitude__float,acctype__cat,light__cat,numvehs__cat,rdsurf__cat,rodwycls__cat,weather__cat,severity__cat
41.48359155,-90.37228754,6,4,1,3,4,3,0
41.30156727,-90.19872705,15,1,2,3,8,1,0
41.3889581,-90.16493264,4,9,1,9,8,9,0
41.31761023,-90.37714561,4,4,1,1,8,1,0
41.30155654,-90.1886947,4,4,1,1,8,1,0
41.17842873,-89.92084335,4,9,1,9,8,9,0
41.29553848,-90.15633581,4,4,1,1,8,1,0
40.63959364,-89.53191304,7,1,1,3,1,3,0
40.85144701,-89.9448502,12,4,2,3,6,3,0
40.74938192,-89.03468414,6,3,1,3,6,3,0
40.6331732,-89.53171655,6,1,1,3,1,3,0
42.06191762,-88.02813193,12,5,2,1,1,1,0
41.90493015,-87.66099523,6,5,1,1,1,1,0
41.91650468,-89.58085612,4,9,1,9,8,9,0
42.1297159,-89.38436127,6,1,1,4,8,7,0
42.00666769,-89.06546448,6,1,1,3,8,3,0
41.98733777,-89.33795751,4,4,1,9,8,1,0
41.8498159,-87.83279745,11,1,2,1,5,1,0
41.84985801,-87.83279708,11,5,2,1,5,1,0
39.79163299,-88.25509735,6,1,1,3,8,3,0
38.54414155,-90.19511809,11,5,2,1,4,1,0
38.85367452,-89.45096865,13,1,2,4,1,5,0
42.1480367,-87.87760373,15,2,2,3,1,3,0
42.3156441,-90.21921979,8,1,1,3,8,3,0
41.39681257,-90.32881009,4,4,1,1,6,1,0
41.55531423,-89.1277461,11,1,2,9,3,1,0
41.54807339,-89.118503,6,5,1,9,3,3,0
41.55437243,-89.06652485,10,1,2,9,8,3,0
41.56192581,-89.12859651,11,1,2,1,3,1,0
42.13450421,-87.75123055,6,5,1,3,3,3,0
42.13719444,-87.75997869,11,5,2,2,3,1,0
42.1413998,-87.75521077,6,5,1,3,3,3,0
41.92462337,-87.71696238,10,5,2,1,3,1,0
41.66326827,-87.64140844,10,3,2,4,4,1,0
41.90967225,-87.7461038,10,4,2,3,4,3,0
38.52523477,-89.09757676,6,1,1,4,3,1,0
42.30938687,-87.91476819,11,4,2,1,4,1,0
42.24014998,-87.90573348,11,1,2,1,4,1,0
42.42571879,-88.00375403,6,1,1,3,3,2,0
42.26260631,-88.10170389,11,1,2,1,3,1,0
42.46567196,-87.97218796,11,1,2,2,3,3,0
41.87345435,-87.80341357,11,1,2,1,1,1,0
41.68936111,-87.59983942,11,1,2,1,1,1,0
41.97830717,-87.77656425,6,1,1,3,1,1,0
41.97825883,-87.77647961,11,1,2,1,1,1,0
41.97825696,-87.77647697,14,1,2,1,1,1,0
41.87110127,-87.86316557,11,1,2,1,1,1,0
41.74502704,-87.62497922,6,5,1,1,1,1,0
41.88630672,-87.64614042,6,5,1,1,1,1,0
42.01793024,-87.75988575,15,1,2,1,1,1,0
41.69951814,-87.65406008,11,5,2,2,1,2,0
41.65007744,-88.13697953,6,1,1,3,1,3,0
41.3307135,-88.19114754,6,1,1,3,6,3,0
41.67990448,-88.25018854,6,1,1,3,8,3,0
41.32474501,-87.8197436,5,1,1,3,6,3,0
41.65811946,-88.11947811,11,1,2,1,1,1,0
41.51127866,-88.12473452,11,1,2,1,1,1,0
41.55087877,-87.80387502,12,1,2,1,1,1,0
41.51067208,-88.13627225,11,1,2,1,1,1,0
41.23477294,-88.06206164,5,1,1,3,8,3,0
41.26139639,-88.11228205,4,4,1,1,10,1,0
41.40026238,-89.38783794,6,1,1,3,6,3,0
41.50060682,-88.63484231,4,2,1,1,8,1,0
41.47509819,-89.12701857,5,4,1,1,8,1,0
41.3716663,-89.07923647,4,4,1,1,6,1,0
41.31882924,-88.87670751,4,4,1,1,8,1,0
41.33559369,-89.01032328,4,4,1,2,8,1,0
41.2610561,-89.01251947,4,4,1,1,8,1,0
41.36952789,-88.78621094,4,4,1,2,8,1,0
42.22455925,-88.98202972,11,1,2,3,1,3,0
38.82681829,-89.98208248,15,4,2,1,6,1,0
38.61753694,-90.18053967,12,1,2,1,1,1,0
38.24856125,-90.07168304,4,2,1,1,8,1,0
38.50486678,-89.91396296,11,1,2,1,3,1,0
38.47389579,-89.92404761,12,1,2,1,3,1,0
38.78752372,-89.82671746,4,4,1,1,8,1,0
41.25767162,-89.07152614,4,4,1,1,8,1,0
41.31111244,-89.07348834,11,4,2,1,3,1,0
41.37542823,-88.70035876,6,4,1,4,6,5,0
41.120647,-88.70537002,11,1,2,9,8,1,0
41.34456951,-89.06707693,6,1,1,3,6,3,0
41.90281588,-87.62403993,15,1,2,1,4,1,0
42.24054493,-87.97702165,11,5,2,2,4,1,0
41.34396601,-88.75528749,4,1,1,1,8,4,0
41.37736724,-88.79407719,6,1,1,2,6,2,0
41.05799475,-88.99770917,14,1,2,3,8,3,0
41.48541003,-88.68809408,4,4,1,1,8,1,0
41.40731453,-90.01010944,4,4,1,2,6,1,0
41.31776018,-90.16530574,6,4,1,3,8,3,0
41.55391361,-90.02010403,6,2,1,3,8,3,0
41.45469274,-90.31939139,15,1,2,1,8,1,0
41.34357168,-88.84148727,6,5,1,1,4,1,0
41.31646372,-88.89746753,4,4,1,1,8,1,0
41.34941401,-88.77492908,6,1,1,3,8,3,0
41.35744794,-88.95294127,6,1,1,3,8,3,0
41.31377449,-88.92243789,4,4,1,1,8,1,0
41.20936901,-89.06769623,6,1,1,3,8,1,0
41.48568177,-88.66891858,10,1,2,1,8,1,0
41.35358387,-88.88249605,4,4,1,1,8,1,0
41.31648948,-88.89458026,4,1,1,1,8,1,0
42.04944635,-88.07968128,12,1,2,3,4,3,0
42.05798142,-88.04505082,11,1,2,3,4,1,0
42.06376015,-88.03277222,11,1,2,3,4,3,0
42.04299818,-88.02948189,11,1,2,2,99,1,0
42.06835171,-88.04386205,11,1,2,1,4,1,0
42.05084699,-88.02799496,6,1,1,2,4,1,0
42.04944661,-88.07968276,11,5,2,3,4,3,0
42.05798406,-88.04505,6,4,1,3,4,3,0
42.0683517,-88.04386205,11,5,2,3,4,3,0
42.04734763,-88.12611635,11,5,2,3,4,3,0
42.05083409,-88.02896741,6,1,1,3,4,3,0
41.99700683,-88.1095168,15,1,2,3,1,3,0
42.05077427,-88.0307272,15,1,2,3,4,3,0
42.03653468,-88.02945404,11,1,2,3,4,3,0
42.07280089,-87.7988692,15,5,2,2,4,1,0
42.07304082,-87.839554,10,1,2,2,3,3,0
42.08674464,-87.84999364,10,1,2,3,3,3,0
42.10557809,-87.82192298,11,1,2,3,4,3,0
42.05523642,-87.80602095,12,1,2,3,4,3,0
42.10557973,-87.82229005,11,1,2,3,4,3,0
42.07242806,-87.85542529,6,1,1,9,4,3,0
42.07810657,-87.83945903,10,1,2,3,3,3,0
42.07282777,-87.80549762,7,1,1,3,3,1,0
42.21208076,-88.14127256,12,1,2,3,3,3,0
42.44375973,-87.87616314,15,1,2,3,3,3,0
42.38236556,-88.00421059,11,4,2,1,3,1,0
42.19713006,-88.01822576,6,5,1,2,3,3,0
42.16077952,-87.91905935,15,4,2,1,5,1,0
42.32048224,-87.96070366,11,1,2,3,3,3,0
42.3598416,-88.00116642,15,1,2,2,3,4,0
42.43567781,-87.87612525,11,1,2,1,3,1,0
42.46823709,-87.94671776,12,4,2,1,4,1,0
42.34610701,-87.91452894,11,1,2,2,4,4,0
42.17577023,-88.17557177,10,1,2,1,4,1,0
42.40073378,-88.06624573,11,1,2,1,3,1,0
42.41092705,-87.87812761,12,1,2,1,3,1,0
42.19053881,-88.14819389,6,4,1,4,3,1,0
42.24026605,-88.00159737,11,4,2,1,3,1,0
42.15373523,-88.02863259,6,1,1,3,4,3,0
42.19037897,-88.13543025,11,4,2,1,3,1,0
41.79047523,-87.8698314,10,1,2,1,5,1,0
41.79049773,-87.86867581,10,1,2,3,5,3,0
41.77855029,-87.86814603,12,3,2,1,5,3,0
41.79006636,-87.88819085,10,1,2,1,5,1,0
41.77855612,-87.86814303,11,1,2,2,5,3,0
41.73454585,-87.74102679,11,1,2,1,4,1,0
41.77724727,-87.86809565,10,1,2,1,5,1,0
42.36840044,-88.04635033,11,1,2,1,3,1,0
42.33793558,-88.04267822,11,4,2,1,3,1,0
42.33066962,-88.00467536,10,4,2,2,4,1,0
41.90261457,-88.47717465,12,4,2,4,8,7,0
38.53316661,-89.15977139,10,9,2,9,3,9,0
38.53403218,-89.17509823,10,2,2,1,3,1,0
38.53016149,-89.13347402,15,1,2,1,99,1,0
38.53309851,-89.13118073,12,1,2,1,99,1,0
38.52835884,-89.13096,10,5,2,2,99,1,0
38.52093813,-89.13476579,12,1,2,2,99,2,0
41.68060433,-87.79707434,12,1,2,3,4,3,0
41.68269,-87.79713854,10,1,2,3,4,3,0
41.69019368,-87.78850067,10,1,2,3,5,1,0
41.67927509,-87.79703122,11,1,2,4,4,1,0
41.75252228,-87.94468128,11,1,2,4,1,1,0
41.69829899,-87.79777881,15,1,2,1,5,7,0
41.68993602,-87.79743224,11,5,2,2,4,1,0
41.77478396,-87.94660993,11,1,2,9,1,7,0
41.74695778,-87.9445271,11,1,2,1,1,1,0
41.75293444,-87.94469185,11,1,2,3,1,3,0
41.76071811,-87.94492301,15,1,2,3,1,3,0
40.67585753,-89.53537636,11,1,2,1,3,1,0
40.68104235,-89.58083304,6,1,1,2,1,1,0
40.66632778,-89.57999172,15,1,2,2,5,1,0
40.66374369,-89.56943344,12,5,2,1,1,1,0
40.67221764,-89.551241,11,1,2,1,3,1,0
40.6966653,-89.54027636,11,1,2,1,4,1,0
39.82479028,-88.16011576,4,4,1,1,8,1,0
39.79172698,-88.32277078,6,1,1,4,8,3,0
41.62616602,-87.68870324,11,1,2,9,5,1,0
41.49881852,-87.74278836,5,1,1,1,1,1,0
40.66845414,-89.57711049,10,1,2,1,5,1,0
42.03999486,-87.84052519,11,1,2,2,4,1,0
41.99660492,-87.83100217,11,1,2,1,4,1,0
42.0257672,-87.85793328,10,1,2,1,5,1,0
42.01098918,-87.83587606,6,5,1,1,4,1,0
42.02545151,-87.84066559,11,1,2,1,5,1,0
42.02002042,-87.84346742,10,1,2,1,5,1,0
42.02549964,-87.83847696,11,1,2,1,5,1,0
42.02471613,-87.86259542,11,1,2,1,5,1,0
40.68112931,-89.59025708,10,5,2,1,5,1,0
40.71544612,-89.52902132,12,5,2,3,1,3,0
40.67203532,-89.57487409,6,1,1,3,1,3,0
42.24012302,-87.89950386,11,1,2,2,4,1,0
42.22840156,-87.99414959,6,4,1,3,4,3,0
42.4646039,-87.8710777,7,1,1,3,3,1,0
42.48425481,-87.95229629,6,1,1,2,4,1,0
42.38611729,-88.00415093,11,4,2,2,3,1,0
42.48713969,-87.94561268,10,1,2,1,3,1,0
42.46513273,-87.9230102,4,4,1,1,3,1,0
42.45895037,-88.10701618,7,4,1,1,3,1,0
42.19721869,-87.98947123,10,1,2,1,5,1,0
42.42091713,-87.8256856,10,5,2,1,5,1,0
42.31547571,-88.11095163,15,1,2,3,3,3,0
42.21589418,-87.99417682,11,1,2,3,4,3,0
42.31155903,-88.00177166,15,1,2,3,3,3,0
42.21584855,-87.99417588,6,1,1,3,4,3,0
41.91055271,-87.62580661,6,5,1,3,1,3,0
41.98969929,-87.67001758,11,1,2,2,4,1,0
41.97642997,-87.65497631,15,1,2,1,5,1,0
42.39379544,-88.15568007,11,1,2,1,3,1,0
42.48084665,-88.20383336,4,4,1,1,3,1,0
42.36270923,-88.16928938,11,5,2,1,4,1,0
42.3868309,-88.15908957,11,1,2,3,3,1,0
39.9428182,-91.37765443,10,1,2,4,3,5,0
42.16748222,-87.87370917,10,1,2,3,5,3,0
42.26260526,-88.1021184,11,1,2,1,3,1,0
42.28012773,-87.91238962,11,1,2,1,4,1,0
42.17014762,-88.01883376,11,1,2,1,3,1,0
42.39605794,-87.88250981,11,1,2,1,3,1,0
42.17579973,-87.98930819,11,4,2,1,3,1,0
42.33736228,-88.16939486,4,4,1,1,4,1,0
42.19048146,-88.12107919,4,2,1,1,3,1,0
42.38594031,-88.00140295,6,5,1,1,4,1,0
42.44850572,-88.11092243,6,3,1,1,3,1,0
42.19037915,-88.1354297,11,1,2,1,3,1,0
41.74893215,-87.75595289,10,1,2,3,4,3,0
41.74907427,-87.75730994,11,1,2,3,4,3,0
41.74901816,-87.75110516,10,1,2,1,4,1,0
41.74915463,-87.74153515,11,5,2,2,4,1,0
41.7481704,-87.79866134,11,1,2,1,4,1,0
41.74858783,-87.77565536,11,1,2,2,4,7,0
41.74889186,-87.75758109,12,1,2,2,3,1,0
41.74209261,-87.74108051,11,1,2,2,4,1,0
41.74869868,-87.77001474,11,5,2,1,4,1,0
41.74915714,-87.74135292,10,5,2,1,4,1,0
41.74915686,-87.74135165,15,5,2,1,4,1,0
41.53196777,-87.63230149,6,5,1,1,3,1,0
41.7419616,-87.74107305,10,5,2,1,4,1,0
41.74842526,-87.78267548,10,1,2,1,5,1,0
41.94593803,-88.30625884,6,1,1,3,3,3,0
41.89342359,-87.85659277,12,4,2,9,3,1,0
41.89079119,-87.84430002,10,5,2,3,3,3,0
38.07818812,-89.40190706,4,4,1,1,8,1,0
41.79075823,-87.85505752,10,5,2,1,5,1,0
41.80561789,-87.84052002,6,1,1,3,5,1,0
41.93722016,-88.30754985,11,5,2,1,3,1,0
41.97017098,-88.28231082,15,1,2,2,3,1,0
41.99949735,-88.46359889,15,1,2,3,8,3,0
42.26689083,-88.99963752,15,1,2,9,4,3,0
42.4653518,-87.94652765,11,4,2,1,4,1,0
42.31409142,-88.10249854,6,1,1,2,3,4,0
42.2635158,-88.08843326,4,4,1,1,3,1,0
42.24018232,-87.91539956,4,4,1,1,4,1,0
41.62526331,-87.73729513,15,4,2,3,4,7,0
41.74820701,-87.796845,11,1,2,1,4,1,0
41.6217236,-87.71749834,11,1,2,1,5,1,0
41.62554667,-87.7176909,10,1,2,3,5,3,0
41.62550858,-87.7176921,11,1,2,3,5,3,0
41.98302424,-88.03144092,15,1,2,3,3,1,0
41.73170017,-87.72641164,11,1,2,1,4,1,0
41.73487899,-87.72143513,11,1,2,1,4,1,0
41.7348748,-87.72239132,10,1,2,3,4,3,0
41.78937659,-89.69041644,15,1,2,1,99,1,0
41.51089868,-90.57943515,11,1,2,3,4,1,0
41.46473216,-90.56570076,6,1,1,2,3,1,0
41.58548368,-88.07965229,11,1,2,1,5,1,0
41.5813998,-88.08218532,11,1,2,1,5,1,0
41.9221895,-87.87135079,11,1,2,2,3,1,0
42.33300968,-88.02906378,10,1,2,1,3,1,0
42.3133337,-88.02880085,6,2,1,3,3,3,0
42.33695644,-88.03577148,11,1,2,1,3,1,0
42.33874358,-88.00462884,15,1,2,2,3,1,0
41.80793745,-88.32749837,10,5,2,2,5,4,0
38.9830619,-88.16098156,11,1,2,1,8,1,0
42.0485792,-87.68875976,5,5,1,4,5,1,0
42.00331096,-88.03126971,10,1,2,3,3,1,0
42.34481197,-88.00459138,11,1,2,3,3,3,0
42.33871676,-88.04813679,10,1,2,3,3,3,0
42.36013172,-88.03333054,12,4,2,9,3,1,0
42.36675385,-88.04381889,6,1,1,2,3,1,0
42.01295209,-88.21747239,12,1,2,1,4,1,0
41.88167655,-87.78774585,11,1,2,2,3,1,0
41.87236339,-87.80445627,11,1,2,1,4,1,0
41.83236873,-87.77790236,10,1,2,1,5,1,0
41.84225237,-87.74391341,11,1,2,1,5,1,0
42.13791493,-87.79163982,11,1,2,1,4,1,0
42.13791493,-87.79163982,10,1,2,2,4,3,0
42.1276774,-87.84860524,11,5,2,2,3,1,0
42.02509802,-87.8515426,10,1,2,1,5,1,0
42.01828509,-87.84071715,10,1,2,1,4,1,0
42.01075757,-87.8458845,11,5,2,2,5,1,0
42.01603142,-87.84067788,11,1,2,4,4,1,0
42.01490249,-87.83533168,12,1,2,9,5,9,0
42.03061421,-87.86001002,11,5,2,3,3,3,0
41.99654715,-87.83357822,9,1,2,3,4,3,0
42.00198202,-87.84612492,15,5,2,1,4,1,0
41.17055119,-87.85125555,11,5,2,1,1,1,0
41.14287656,-87.85096217,6,4,1,2,5,3,0
41.91069399,-89.21112032,6,1,1,2,8,3,0
42.18066285,-89.18177486,6,4,1,4,8,5,0
42.05142855,-89.34769852,6,4,1,4,8,5,0
42.00666836,-89.06545972,15,1,2,1,8,1,0
41.97553199,-87.77175161,11,5,2,1,1,1,0
42.13829746,-87.7633837,11,1,2,3,5,3,0
39.00334403,-89.79667178,6,5,1,1,8,1,0
41.96017596,-87.7475017,6,1,1,1,4,1,0
41.7860452,-87.57751647,11,1,2,1,4,1,0
41.72234687,-87.58512218,11,1,2,3,5,3,0
41.72247833,-87.5744428,11,1,2,3,5,1,0
42.20904998,-87.99174196,11,2,2,2,4,1,0
42.20904973,-87.99174145,10,1,2,3,4,4,0
42.4760591,-88.15262845,11,1,2,1,3,1,0
42.3687203,-88.13988521,15,1,2,1,3,1,0
42.30601791,-87.92092361,11,1,2,2,4,1,0
42.20905071,-87.99173995,10,1,2,1,4,1,0
42.30938727,-87.91476994,10,4,2,1,4,1,0
42.41007194,-87.87821655,11,4,2,1,3,1,0
42.28008379,-87.91883455,4,4,1,2,3,3,0
42.20905078,-87.99174188,11,1,2,2,4,1,0
41.51373444,-87.71317843,11,1,2,1,3,1,0
42.05640964,-87.83984494,11,5,2,1,4,1,0
42.08105462,-87.86434693,10,4,2,1,4,1,0
42.0900968,-87.8732949,10,1,2,2,4,1,0
42.08674456,-87.84999393,11,1,2,3,3,1,0
42.07275663,-87.8557585,10,5,2,2,4,3,0
42.06884561,-87.77110963,10,1,2,2,3,1,0
42.07300434,-87.83560604,11,1,2,1,3,1,0
41.81649273,-87.74339625,11,1,2,2,4,3,0
40.71516506,-89.5091801,11,1,2,2,4,1,0
40.66752488,-89.5607688,11,1,2,4,5,1,0
42.31596893,-88.00624389,10,1,2,3,3,3,0
42.15374073,-88.02678978,11,4,2,2,4,1,0
42.34504121,-87.92703723,11,4,2,1,4,1,0
42.46501489,-87.9134728,4,4,1,1,3,1,0
42.23975741,-88.11473046,6,1,1,1,4,1,0
42.46462439,-87.8814454,15,5,2,1,3,1,0
42.21762094,-88.14080179,11,4,2,1,3,1,0
42.27203052,-88.07030095,6,5,1,3,3,3,0
42.21902296,-87.994155,6,4,1,3,4,3,0
42.15304194,-87.89763087,12,4,2,3,4,3,0
42.48087706,-88.01786024,6,3,1,3,3,3,0
42.36874871,-88.13618954,6,4,2,3,3,3,0
42.305726,-87.94044764,6,1,1,3,4,3,0
42.37468026,-88.00227427,6,1,1,3,3,3,0
42.42525429,-87.93794329,12,1,2,3,4,3,0
42.23448192,-87.99414815,6,1,1,3,4,3,0
42.15303819,-87.89742731,6,1,1,3,4,3,0
42.22852936,-87.99414995,6,1,1,3,4,3,0
42.31137916,-87.90281021,6,1,1,3,4,3,0
42.19722017,-87.98947139,11,1,2,1,5,1,0
42.42123366,-87.87719209,11,1,2,1,3,1,0
42.19010435,-87.98952242,11,4,2,1,4,1,0
42.38605083,-88.00415061,11,1,2,1,3,1,0
42.15373578,-88.02863333,11,1,2,4,4,3,0
41.7901847,-87.8686616,10,5,2,1,5,1,0
41.78975816,-87.90151618,12,1,2,2,5,1,0
41.77784946,-87.86972194,13,1,2,2,4,1,0
41.78794377,-87.86857305,15,1,2,3,5,3,0
41.7900973,-87.88735593,10,3,2,2,5,1,0
41.78219094,-87.8683229,6,5,1,3,5,3,0
41.79027289,-87.87914554,15,1,2,3,5,3,0
41.79048681,-87.86922282,10,1,2,1,5,1,0
41.5801947,-87.79343226,11,1,2,2,4,1,0
41.60229913,-87.79411452,11,3,2,1,4,1,0
41.79048279,-87.86940769,10,1,2,1,5,1,0
41.77876014,-87.86767423,10,1,2,9,4,7,0
41.79049989,-87.86852791,10,1,2,1,5,1,0
41.77855007,-87.86814236,10,3,2,2,5,3,0
