1;[1, 5];[1, 10];[1, 20];*
2;[1, 5];[1, 10];[1, 20];*
3;[1, 5];[1, 10];[1, 20];*
4;[1, 5];[1, 10];[1, 20];*
5;[1, 5];[1, 10];[1, 20];*
6;[6, 10];[1, 10];[1, 20];*
7;[6, 10];[1, 10];[1, 20];*
8;[6, 10];[1, 10];[1, 20];*
9;[6, 10];[1, 10];[1, 20];*
10;[6, 10];[1, 10];[1, 20];*
11;[11, 15];[11, 20];[1, 20];*
12;[11, 15];[11, 20];[1, 20];*
13;[11, 15];[11, 20];[1, 20];*
14;[11, 15];[11, 20];[1, 20];*
15;[11, 15];[11, 20];[1, 20];*
16;[16, 20];[11, 20];[1, 20];*
17;[16, 20];[11, 20];[1, 20];*
18;[16, 20];[11, 20];[1, 20];*
19;[16, 20];[11, 20];[1, 20];*
20;[16, 20];[11, 20];[1, 20];*
21;[21, 25];[21, 30];[21, 40];*
22;[21, 25];[21, 30];[21, 40];*
23;[21, 25];[21, 30];[21, 40];*
24;[21, 25];[21, 30];[21, 40];*
25;[21, 25];[21, 30];[21, 40];*
26;[26, 30];[21, 30];[21, 40];*
27;[26, 30];[21, 30];[21, 40];*
28;[26, 30];[21, 30];[21, 40];*
29;[26, 30];[21, 30];[21, 40];*
30;[26, 30];[21, 30];[21, 40];*
31;[31, 35];[31, 40];[21, 40];*
32;[31, 35];[31, 40];[21, 40];*
33;[31, 35];[31, 40];[21, 40];*
34;[31, 35];[31, 40];[21, 40];*
35;[31, 35];[31, 40];[21, 40];*
36;[36, 40];[31, 40];[21, 40];*
37;[36, 40];[31, 40];[21, 40];*
38;[36, 40];[31, 40];[21, 40];*
39;[36, 40];[31, 40];[21, 40];*
40;[36, 40];[31, 40];[21, 40];*
41;[41, 45];[41, 50];[41, 60];*
42;[41, 45];[41, 50];[41, 60];*
43;[41, 45];[41, 50];[41, 60];*
44;[41, 45];[41, 50];[41, 60];*
45;[41, 45];[41, 50];[41, 60];*
46;[46, 50];[41, 50];[41, 60];*
47;[46, 50];[41, 50];[41, 60];*
48;[46, 50];[41, 50];[41, 60];*
49;[46, 50];[41, 50];[41, 60];*
50;[46, 50];[41, 50];[41, 60];*
51;[51, 55];[51, 60];[41, 60];*
52;[51, 55];[51, 60];[41, 60];*
53;[51, 55];[51, 60];[41, 60];*
54;[51, 55];[51, 60];[41, 60];*
55;[51, 55];[51, 60];[41, 60];*
56;[56, 60];[51, 60];[41, 60];*
57;[56, 60];[51, 60];[41, 60];*
58;[56, 60];[51, 60];[41, 60];*
59;[56, 60];[51, 60];[41, 60];*
60;[56, 60];[51, 60];[41, 60];*
61;[61, 65];[61, 70];[61, 80];*
62;[61, 65];[61, 70];[61, 80];*
63;[61, 65];[61, 70];[61, 80];*
64;[61, 65];[61, 70];[61, 80];*
65;[61, 65];[61, 70];[61, 80];*
66;[66, 70];[61, 70];[61, 80];*
67;[66, 70];[61, 70];[61, 80];*
68;[66, 70];[61, 70];[61, 80];*
69;[66, 70];[61, 70];[61, 80];*
70;[66, 70];[61, 70];[61, 80];*
71;[71, 75];[71, 80];[61, 80];*
72;[71, 75];[71, 80];[61, 80];*
73;[71, 75];[71, 80];[61, 80];*
74;[71, 75];[71, 80];[61, 80];*
75;[71, 75];[71, 80];[61, 80];*
76;[76, 80];[71, 80];[61, 80];*
77;[76, 80];[71, 80];[61, 80];*
78;[76, 80];[71, 80];[61, 80];*
79;[76, 80];[71, 80];[61, 80];*
80;[76, 80];[71, 80];[61, 80];*
81;[81, 85];[81, 90];[81, 100];*
82;[81, 85];[81, 90];[81, 100];*
83;[81, 85];[81, 90];[81, 100];*
84;[81, 85];[81, 90];[81, 100];*
85;[81, 85];[81, 90];[81, 100];*
86;[86, 90];[81, 90];[81, 100];*
87;[86, 90];[81, 90];[81, 100];*
88;[86, 90];[81, 90];[81, 100];*
89;[86, 90];[81, 90];[81, 100];*
90;[86, 90];[81, 90];[81, 100];*
91;[91, 95];[91, 100];[81, 100];*
92;[91, 95];[91, 100];[81, 100];*
93;[91, 95];[91, 100];[81, 100];*
94;[91, 95];[91, 100];[81, 100];*
95;[91, 95];[91, 100];[81, 100];*
96;[96, 100];[91, 100];[81, 100];*
97;[96, 100];[91, 100];[81, 100];*
98;[96, 100];[91, 100];[81, 100];*
99;[96, 100];[91, 100];[81, 100];*
100;[96, 100];[91, 100];[81, 100];*
